STATE,COUNTY,CITY,ZIP,SCHOOL NAME,SCHOOL DISTRICT
CA,LOS ANGELES COUNTY,Los Angeles,90031,Abraham Lincoln Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90003,Acad for Multilingual Arts and Sci at Mervyn M. Dymally High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90016,Academy of Science and Engineering,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90034,Alexander Hamilton Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance College-Ready Academy High 16,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Collins Family College-Ready High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90007,Alliance Dr. Olga Mohan High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Health Services Academy High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Leichtman-Levine Family Foundation Env Sci High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Morgan McKinzie High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Alliance Tennenbaum Family Technology High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90032,Anahuacalmecac International Univ Prep of N. America,SBE - Anahuacalmecac International Univ Prep of N. America
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo College Preparatory Academy,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Inglewood Charter High,Inglewood Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Jackie Robinson High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Leadership High,Lennox
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Pat Brown,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Ralph Bunche Charter High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo South Los Angeles Charter,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Venice Charter High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Animo Watts College Preparatory Academy,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90044,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90044,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90044,Augustus F. Hawkins High C Rspnsbl Indigenous Soc Entrepr,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90026,Belmont Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90042,Benjamin Franklin Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90033,Boyle Heights Continuation,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90033,Boyle Heights STEM High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90045,Bright Star Secondary Charter Academy,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90026,Camino Nuevo Charter High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90004,Camino Nuevo High No. 2,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90004,Central City Value,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90021,Central High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90034,Cheviot Hills Continuation,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90007,College Bridge Academy,Inyo County Office of Education
CA,LOS ANGELES COUNTY,Los Angeles,90001,Communication and Tech at Diego Rivera Lrng Complex,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Contreras Learning Center-School of Social Justice,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90017,Contreras Lrng Center-Los Angeles Sch of Global Studies,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90023,Crenshaw Arts-Technology Charter High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90043,Crenshaw Sci Tech Engr Math and Med Magnet,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90002,David Starr Jordan Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90012,Downtown Business High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90011,Dr. Maya Angelou Community High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90063,E. Los Angeles Renaiss Acad at Esteban E. Torres High #2,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90015,Early College Academy-LA Trade Tech College,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90026,Edward R. Roybal Learning Center,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90047,Ellington (Duke) High (Continuation),Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90063,Engr and Tech Acad at Esteban E. Torres High #3,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90031,Environmental and Social Policy Magnet,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90063,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90046,Fairfax Senior High,Los Angeles Unified
CA,LOS ANGELES COUNTY,Los Angeles,90033,Felicitas and Gonzalo Mendez High,Los Angeles Unified
