NCES School ID,School Name,District,County Name,Street Address,City,State,ZIP,Phone,Website,Locale,Students,Teachers,Free or Reduced Lunch
10039001761,Family Court High School,Birmingham City,JEFFERSON COUNTY,P O Box 10007,Birmingham,AL,35202,2055834891,,City: Midsize,12,–,9
10039001468,George Washington Carver High School,Birmingham City,JEFFERSON COUNTY,3900 24th St N,Birmingham,AL,35207,2052313900,,City: Midsize,791,47.5,473
10039000141,Huffman High School-Magnet,Birmingham City,JEFFERSON COUNTY,950 Springville Rd,Birmingham,AL,35215,2052315000,,City: Midsize,1313,66.4,688
10039000164,Jackson-Olin High School,Birmingham City,JEFFERSON COUNTY,510 12th Street,Birmingham,AL,35218,2052316431,,City: Midsize,1052,61.5,653
10039001288,Kennedy Alternative,Birmingham City,JEFFERSON COUNTY,125 63Rd St N,Birmingham,AL,35212,3342429700,,City: Midsize,–,–,0
10039000165,Parker High School,Birmingham City,JEFFERSON COUNTY,900 4th St N,Birmingham,AL,35204,2052312370,,City: Midsize,830,52,534
10039000176,Ramsay High School,Birmingham City,JEFFERSON COUNTY,1800 13th Ave S,Birmingham,AL,35205,2052317000,,City: Midsize,856,44,221
10039000192,Wenonah High School,Birmingham City,JEFFERSON COUNTY,2800-Wilson Rd Sw,Birmingham,AL,35221,2052311660,,City: Midsize,775,48,484
10039000198,Woodlawn High School-Magnet,Birmingham City,JEFFERSON COUNTY,5620 1s St Ave N,Birmingham,AL,35212,2055998700,,City: Midsize,787,42.6,528
10039000073,Workshop Incorporate,Birmingham City,JEFFERSON COUNTY,P O Box 10007 Rm 304,Birmingham,AL,35202,2055929683,,City: Midsize,–,–,0
10192000702,Erwin High School,Jefferson County,JEFFERSON COUNTY,532 23Rd Ave NW,Birmingham,AL,35215,2053793400,,City: Midsize,846,54,705
10303001189,Oak Mt High School,Shelby County,SHELBY COUNTY,5476 Caldwell Mill Rd,Birmingham,AL,35242,2056825200,,Suburb: Large,1631,90,173
1.20E+11,ALONSO HIGH SCHOOL,HILLSBOROUGH,HILLSBOROUGH COUNTY,8302 MONTAGUE ST,TAMPA,FL,33635,8133561525,,Suburb: Large,2607,136,1527
1.20E+11,BLAKE HIGH SCHOOL,HILLSBOROUGH,HILLSBOROUGH COUNTY,1701 N BOULEVARD,TAMPA,FL,33607,8132723422,,City: Large,1709,103,1117
1.20E+11,BOWERS-WHITLEY CAREER CENTER,HILLSBOROUGH,HILLSBOROUGH COUNTY,13609 N 22ND ST,TAMPA,FL,33613,8135581750,,Suburb: Large,262,18,222
