NCES District ID,School Name,District,County Name,Street Address,City,State,ZIP,Phone,Website,Locale,Students,Teachers,Reduced Lunch
1300120,Crim High School,Atlanta Public Schools,DEKALB COUNTY,256 Clifton St SE,Atlanta,GA,30317,4048025800,,City: Large,298,44.5,3
1301740,Druid Hills High School,DeKalb County,DEKALB COUNTY,1798 Haygood Dr NE,Atlanta,GA,30307,6788746302,,Suburb: Large,1386,88.5,73
1301740,Lakeside High School,DeKalb County,DEKALB COUNTY,3801 Briarcliff Rd NE,Atlanta,GA,30345,6788746702,,Suburb: Large,2048,111.7,81
1301740,McNair High School,DeKalb County,DEKALB COUNTY,1804 Bouldercrest Rd SE,Atlanta,GA,30316,6788744902,,Suburb: Large,808,51.5,28
1300120,Booker T. Washington High School,Atlanta Public Schools,FULTON COUNTY,45 Whitehouse Dr SW,Atlanta,GA,30314,4048024600,,City: Large,835,63,0
1300120,Corretta Scott King Womens' Leadership Academy,Atlanta Public Schools,FULTON COUNTY,1190 Northwest Dr Nw,Atlanta,GA,30318,4048024900,,City: Large,256,28,0
1300120,Douglass High School,Atlanta Public Schools,FULTON COUNTY,225 Hamilton E Holmes Dr NW,Atlanta,GA,30318,4048023100,,City: Large,826,66,0
1300120,Early College High School at Carver,Atlanta Public Schools,FULTON COUNTY,55 McDonough Blvd SE,Atlanta,GA,30315,4048024405,,City: Large,321,17.2,0
1300120,Grady High School,Atlanta Public Schools,FULTON COUNTY,929 Charles Allen Dr NE,Atlanta,GA,30309,4048023001,,City: Large,1287,96,49
1300120,KIPP Atlanta Collegiate,Atlanta Public Schools,FULTON COUNTY,98 Anderson Avenue,Atlanta,GA,30314,4043264858,,City: Large,525,41,0
1300120,Maynard H. Jackson- Jr. High School,Atlanta Public Schools,FULTON COUNTY,801 Glenwood Ave SE,Atlanta,GA,30316,4048025200,,City: Large,1022,72,0
1300120,Mays High School,Atlanta Public Schools,FULTON COUNTY,3450 Benjamin E Mays Dr SW,Atlanta,GA,30331,4048025100,,City: Large,1707,102.5,84
1300120,North Atlanta High School,Atlanta Public Schools,FULTON COUNTY,4111 Northside Pkwy NW,Atlanta,GA,30327,4048024700,,City: Large,1657,102.7,62
1300120,School of Health Sciences and Research at Carver,Atlanta Public Schools,FULTON COUNTY,55 McDonough Blvd SE,Atlanta,GA,30315,4048024420,,City: Large,330,27.7,0
1300120,School of Technology at Carver,Atlanta Public Schools,FULTON COUNTY,55 McDonough Blvd SE,Atlanta,GA,30315,4048024410,,City: Large,305,21,0
1300120,South Atlanta Law and Social Justice School,Atlanta Public Schools,FULTON COUNTY,800 Hutchens Rd SE,Atlanta,GA,30354,4048025045,,City: Large,294,26.1,0
1300120,South Atlanta School of Computer Animation and Design,Atlanta Public Schools,FULTON COUNTY,800 Hutchens Rd SE,Atlanta,GA,30354,4043625057,,City: Large,302,25.7,0
1300120,South Atlanta School of Health and Medical Science,Atlanta Public Schools,FULTON COUNTY,800 Hutchens Rd SE,Atlanta,GA,30354,4048025050,,City: Large,300,25.2,0
1300120,The School of the Arts at Carver,Atlanta Public Schools,FULTON COUNTY,55 McDonough Blvd SE,Atlanta,GA,30315,4048024415,,City: Large,380,29.1,0
1300120,Therrell School of Law- Government and Public Policy - C,Atlanta Public Schools,FULTON COUNTY,3099 Panther Trl SW,Atlanta,GA,30311,4043462523,,City: Large,270,27,0
1300027,Department of Human Resources,Department of Human Resources,FULTON COUNTY,2 Peachtree Street NW,Atlanta,GA,30303,4046570435,,City: Large,84,–,0
1302280,Hapeville Charter Career Academy,Fulton County,FULTON COUNTY,6045 Buffington Rd,Atlanta,GA,30349,4047660101,,Suburb: Large,690,31.3,88
1302280,North Springs High School,Fulton County,FULTON COUNTY,7447 Roswell Rd NE,Atlanta,GA,30328,7705512490,,City: Small,1653,97.5,101
1302280,Riverwood International Charter School,Fulton County,FULTON COUNTY,5900 Heards Dr NW,Atlanta,GA,30328,4048471980,,City: Small,1551,94.3,54
1302280,Westlake High School,Fulton County,FULTON COUNTY,2400 Union Rd SW,Atlanta,GA,30331,4043466400,,Rural: Fringe,2023,116.9,149
1300231,Graduation Achievement Center Charter High School,State Charter Schools- Provost Academy Georgia,FULTON COUNTY,100 Edgewood Ave NE Ste 915,Atlanta,GA,30303,4045778593,,City: Large,1894,32,246
